Date,District,Mandal,Rainfall (mm),temp_min (â°C),temp_max (â°C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
2019-06-01,Warangal (R),Nadikuda,0.0,29.8,41.1,24.5,53.5,0.2,1.9
2019-06-02,Warangal (R),Nadikuda,0.0,30.2,36.4,39.5,59.0,0.0,1.3
2019-06-03,Warangal (R),Nadikuda,0.0,27.5,41.4,21.2,71.5,0.4,4.4
2019-06-04,Warangal (R),Nadikuda,0.0,25.5,40.6,28.5,81.3,0.1,3.9
2019-06-05,Warangal (R),Nadikuda,0.0,27.3,37.7,40.9,73.8,0.3,1.9
2019-06-06,Warangal (R),Nadikuda,0.0,30.4,40.6,28.0,63.5,0.1,3.3
2019-06-07,Warangal (R),Nadikuda,0.0,27.1,41.0,32.8,71.0,0.0,8.4
2019-06-08,Warangal (R),Nadikuda,0.0,25.5,39.7,33.8,82.8,0.0,6.4
2019-06-09,Warangal (R),Nadikuda,0.0,27.7,36.1,44.6,76.6,0.0,2.1
2019-06-10,Warangal (R),Nadikuda,0.0,28.8,39.7,33.8,63.2,0.0,2.3
2019-06-11,Warangal (R),Nadikuda,0.0,28.6,39.4,34.2,66.2,0.0,1.6
2019-06-12,Warangal (R),Nadikuda,0.0,29.5,39.6,32.6,57.6,0.0,1.0
2019-06-13,Warangal (R),Nadikuda,0.0,28.3,38.8,36.0,55.0,0.0,1.9
2019-06-14,Warangal (R),Nadikuda,0.0,30.9,40.6,29.6,54.3,0.2,2.3
2019-06-15,Warangal (R),Nadikuda,0.0,32.1,40.3,30.9,49.9,0.0,2.2
2019-06-16,Warangal (R),Nadikuda,0.0,32.6,40.6,26.7,47.5,0.0,3.3
2019-06-17,Warangal (R),Nadikuda,0.0,31.0,40.6,26.1,54.2,0.0,3.3
2019-06-18,Warangal (R),Nadikuda,0.0,28.4,37.4,38.4,69.9,0.0,2.5
2019-06-19,Warangal (R),Nadikuda,0.0,32.2,40.1,29.2,47.8,0.0,2.5
2019-06-20,Warangal (R),Nadikuda,0.0,32.2,41.7,28.3,57.1,0.3,3.2
2019-06-21,Warangal (R),Nadikuda,62.3,24.6,39.8,35.2,97.4,0.0,3.0
2019-06-22,Warangal (R),Nadikuda,0.0,26.5,33.8,65.3,84.4,0.0,1.4
2019-06-23,Warangal (R),Nadikuda,2.0,26.2,33.5,59.3,92.0,0.0,2.0
2019-06-24,Warangal (R),Nadikuda,0.8,26.1,31.7,74.9,93.6,0.0,1.0
2019-06-25,Warangal (R),Nadikuda,0.0,27.9,37.4,45.9,85.6,0.0,1.2
2019-06-26,Warangal (R),Nadikuda,0.0,28.2,38.0,40.9,83.0,0.0,1.1
2019-06-27,Warangal (R),Nadikuda,5.0,28.5,38.3,44.2,79.4,0.0,0.9
2019-06-28,Warangal (R),Nadikuda,0.0,29.1,37.8,44.0,77.8,0.0,2.1
2019-06-29,Warangal (R),Nadikuda,0.0,26.8,35.4,50.2,86.6,0.0,2.7
2019-06-30,Warangal (R),Nadikuda,23.0,24.1,32.2,60.0,98.0,0.0,2.3
2019-07-01,Warangal (R),Nadikuda,12.0,24.6,29.9,71.4,97.0,0.0,3.0
2019-07-02,Warangal (R),Nadikuda,0.3,25.6,29.7,72.5,91.2,0.0,2.3
2019-07-03,Warangal (R),Nadikuda,30.8,23.8,30.4,73.3,98.6,0.0,2.8
2019-07-04,Warangal (R),Nadikuda,0.0,26.6,31.2,66.3,87.6,0.0,2.0
2019-07-05,Warangal (R),Nadikuda,0.0,26.2,33.6,58.3,81.3,0.0,2.3
2019-07-06,Warangal (R),Nadikuda,8.0,24.9,32.5,61.2,98.6,0.0,1.3
2019-07-07,Warangal (R),Nadikuda,0.0,26.6,32.3,61.3,80.4,0.0,1.5
2019-07-08,Warangal (R),Nadikuda,27.0,24.0,34.7,52.7,99.1,0.0,1.3
2019-07-09,Warangal (R),Nadikuda,4.3,24.9,34.5,57.9,94.3,0.0,2.1
2019-07-10,Warangal (R),Nadikuda,26.8,24.2,34.3,59.3,99.9,0.0,1.9
2019-07-11,Warangal (R),Nadikuda,0.0,26.6,33.8,62.7,86.7,0.0,2.6
2019-07-12,Warangal (R),Nadikuda,5.0,25.1,35.1,54.7,95.4,0.0,2.7
2019-07-13,Warangal (R),Nadikuda,0.0,27.0,34.5,58.3,88.9,0.0,1.8
2019-07-14,Warangal (R),Nadikuda,0.8,26.3,34.6,55.6,90.8,0.0,2.8
2019-07-15,Warangal (R),Nadikuda,0.3,26.1,34.7,50.3,88.0,0.0,2.6
2019-07-16,Warangal (R),Nadikuda,0.0,25.8,35.3,49.4,87.8,0.0,3.0
2019-07-17,Warangal (R),Nadikuda,0.0,27.0,36.0,45.8,80.0,0.0,3.6
2019-07-18,Warangal (R),Nadikuda,0.0,27.9,37.7,39.1,78.6,0.0,3.3
2019-07-19,Warangal (R),Nadikuda,13.8,25.0,37.9,42.6,97.8,0.0,2.2
2019-07-20,Warangal (R),Nadikuda,11.3,24.6,36.0,52.7,98.3,0.0,1.4
2019-07-21,Warangal (R),Nadikuda,0.0,26.0,32.7,70.7,96.2,0.0,2.2
2019-07-22,Warangal (R),Nadikuda,0.0,26.3,35.3,54.2,92.7,0.0,1.1
2019-07-23,Warangal (R),Nadikuda,6.0,26.1,36.5,56.5,95.0,0.0,1.1
2019-07-24,Warangal (R),Nadikuda,0.0,25.9,36.0,54.2,91.1,0.0,0.6
2019-07-25,Warangal (R),Nadikuda,0.0,27.5,35.9,54.0,82.0,0.0,0.9
2019-07-26,Warangal (R),Nadikuda,41.8,24.1,33.2,64.2,99.5,0.0,3.1
2019-07-27,Warangal (R),Nadikuda,18.5,23.7,28.3,79.8,99.0,0.0,2.5
2019-07-28,Warangal (R),Nadikuda,35.5,23.6,28.1,81.7,100.0,0.0,3.2
2019-07-29,Warangal (R),Nadikuda,30.0,23.7,27.7,87.0,99.8,0.0,1.0
2019-07-30,Warangal (R),Nadikuda,28.8,23.8,25.9,89.6,99.7,0.0,1.0
2019-07-31,Warangal (R),Nadikuda,0.0,24.8,29.8,74.2,91.5,0.0,2.8
2019-08-01,Warangal (R),Nadikuda,3.3,24.9,32.2,66.6,92.5,0.0,2.9
2019-08-02,Warangal (R),Nadikuda,87.0,23.5,30.3,74.4,100.0,0.0,2.2
2019-08-03,Warangal (R),Nadikuda,33.3,22.4,25.0,89.3,99.7,0.0,1.3
2019-08-04,Warangal (R),Nadikuda,4.5,24.7,28.2,82.2,96.6,0.0,1.2
2019-08-05,Warangal (R),Nadikuda,0.8,25.1,31.5,71.8,92.9,0.0,2.0
2019-08-06,Warangal (R),Nadikuda,13.3,23.9,32.3,69.3,98.5,0.0,1.4
2019-08-07,Warangal (R),Nadikuda,26.5,23.7,26.8,91.6,99.2,0.0,0.9
2019-08-08,Warangal (R),Nadikuda,18.8,24.1,26.5,87.9,99.4,0.0,0.7
2019-08-09,Warangal (R),Nadikuda,16.0,23.1,29.5,78.7,98.7,0.0,2.6
2019-08-10,Warangal (R),Nadikuda,0.0,24.9,32.1,70.0,93.3,0.0,1.8
2019-08-11,Warangal (R),Nadikuda,0.0,26.1,33.1,65.9,90.0,0.0,1.5
2019-08-12,Warangal (R),Nadikuda,0.5,25.5,32.7,64.9,95.8,0.0,3.2
2019-08-13,Warangal (R),Nadikuda,0.0,25.8,31.6,69.1,96.8,0.0,2.7
2019-08-14,Warangal (R),Nadikuda,0.0,25.8,29.1,77.7,95.1,0.0,2.3
2019-08-15,Warangal (R),Nadikuda,0.0,24.8,31.0,74.6,97.4,0.0,2.6
2019-08-16,Warangal (R),Nadikuda,0.0,26.6,32.6,69.6,95.5,0.0,1.8
2019-08-17,Warangal (R),Nadikuda,0.0,26.3,33.4,65.7,96.5,0.0,2.1
2019-08-18,Warangal (R),Nadikuda,0.0,26.1,32.3,69.3,96.3,0.0,2.3
2019-08-19,Warangal (R),Nadikuda,11.5,22.4,28.9,83.3,99.8,0.0,1.3
2019-08-20,Warangal (R),Nadikuda,22.0,26.0,33.1,69.2,98.6,0.0,1.3
2019-08-21,Warangal (R),Nadikuda,0.0,25.7,31.0,76.9,98.8,0.0,2.0
2019-08-22,Warangal (R),Nadikuda,7.5,24.3,32.3,75.3,98.0,0.0,2.3
2019-08-23,Warangal (R),Nadikuda,19.0,23.5,30.9,77.5,99.4,0.0,2.4
2019-08-24,Warangal (R),Nadikuda,0.8,24.8,27.3,87.3,99.3,0.0,3.1
2019-08-25,Warangal (R),Nadikuda,7.8,24.6,30.5,72.1,97.4,0.0,1.8
2019-08-26,Warangal (R),Nadikuda,5.3,24.7,32.6,67.3,97.8,0.0,2.3
2019-08-27,Warangal (R),Nadikuda,0.0,24.4,32.2,70.6,96.3,0.0,2.0
2019-08-28,Warangal (R),Nadikuda,0.0,24.4,32.5,59.6,92.1,0.0,1.8
2019-08-29,Warangal (R),Nadikuda,0.0,25.8,33.8,61.7,98.2,0.0,1.5
2019-08-30,Warangal (R),Nadikuda,0.0,25.3,35.0,56.1,95.9,0.0,1.7
2019-08-31,Warangal (R),Nadikuda,36.5,22.4,33.3,66.9,99.7,0.0,1.9
2019-09-01,Warangal (R),Nadikuda,87.3,23.6,30.9,75.5,99.5,0.0,2.6
2019-09-02,Warangal (R),Nadikuda,2.5,22.4,30.9,74.9,96.5,0.0,2.2
2019-09-03,Warangal (R),Nadikuda,3.5,23.9,27.3,83.6,97.4,0.0,2.4
2019-09-04,Warangal (R),Nadikuda,1.8,24.4,28.2,87.3,96.8,0.0,2.9
2019-09-05,Warangal (R),Nadikuda,0.0,24.3,30.3,77.7,95.8,0.0,2.7
2019-09-06,Warangal (R),Nadikuda,1.5,24.3,31.8,72.9,96.3,0.0,2.5
2019-09-07,Warangal (R),Nadikuda,0.5,24.7,30.3,78.6,93.3,0.0,2.3
2019-09-08,Warangal (R),Nadikuda,0.0,25.0,29.0,79.4,93.0,0.0,2.2
2019-09-09,Warangal (R),Nadikuda,7.3,24.5,31.3,74.2,98.7,0.0,1.7
